Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,34140,"Moscow, ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,254050,0.239,0.3582,1664,0.2949,0.1127,152.6442308,-0.0328,0.2239,1,0,-0.5,1,0,1,26.5,6.25,0.3086,-5,-0.1587,0,,-1,0,,,0,,,0,,,1,0,-0.5,0,0,0,-0.6462,-0.7299,-0.5468,-0.4183,0,0
201811,44060,"Spokane-Spokane Valley, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,209950,-0.0349,-0.2305,1512,-0.0553,-0.1762,135.5965824,-0.0008,-0.0971,16.5,0,-0.25,0.303,-0.091,-0.3334,62.75,6,0.1057,22.25,0.5494,2,-0.5,0,0,,,4,0,1,4.5,-0.1818,0.2857,21,-0.0455,-0.1765,0.2727,-0.0606,0.1136,-0.2988,-0.3988,-0.2826,-0.2667,0,0
201811,32300,"Martinsville, VA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,45770,-0.0752,-0.2365,2358,0,0.8894,19.38931298,-0.0753,-0.5961,1,0,-0.6667,0,,-1,138.5,28,0.2534,113,4.4314,0,,,0,,,0,,,0,,,1,0,-0.6667,0,0,0,0.1429,-0.4234,0.1429,0.7778,0,0
201811,15540,"Burlington-South Burlington, VT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,331272.5,-0.0229,-0.0509,1989.5,0.0263,-0.0633,167.8704354,-0.0073,0.0125,91.5,-0.0896,-0.0108,0.1529,-0.2502,-0.0243,118.5,5.5,0.0487,-0.75,-0.0063,12,-0.3333,-0.1429,0,,,12,-0.3333,1,0,,,91.5,-0.0896,-0.0108,0,0,0,-0.1228,0.2682,-0.0426,0.2857,0,0
201811,43340,"Shreveport-Bossier City, LA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,149950,0.0166,0.0597,1777.5,0.0134,0.0156,83.52572559,-0.011,-0.0049,47,-0.0693,0.2208,0.1277,0.6144,-0.1058,118.5,4.5,0.0395,0.5,0.0042,4,-0.3333,-0.6,0,,,6,-0.6667,0.5,0,-1,,47,-0.0874,0.2208,0,-0.0198,0,-0.2701,0.2322,-0.2361,0.0377,0,0
201811,10140,"Aberdeen, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,368425,0.0247,0.0932,1761.25,0.0415,0.0282,198.6494187,-0.0083,0.043,4.5,-0.1,-0.25,0.1111,,,234.25,36.75,0.1861,65.5,0.3881,0,,,0,,,0,,,1,,,5.5,0.1,-0.0833,0.2222,0.2222,0.2222,0.1435,-0.3394,0.2727,-0.1111,1,0
201811,14740,"Bremerton-Silverdale, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,355525,-0.1827,-0.4727,1425,-0.0352,-0.2335,221.4626667,-0.0043,-0.4581,7,-0.2222,0,0.1428,-0.1429,-0.6002,77.75,31.5,0.6811,21.75,0.3884,4,0,0,0,,,0,-1,,1.5,0,-0.7692,8.5,-0.1905,-0.3704,0.2143,0.0476,-0.7143,-0.09,0.1832,0.1696,0.1491,1,0
201811,24620,"Greeneville, TN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,119950,-0.3144,-0.4992,1763,-0.0589,-0.1154,80.79514825,-0.1856,-0.3116,5,0,-0.1667,0.2,0,-0.4,127.5,23.5,0.226,35,0.3784,0,-1,-1,0,,,0,,,1,-0.5,,6,-0.1429,0,0.2,-0.2,0.2,-0.3448,0.0225,-0.29,0.2034,1,0
201811,42420,"Scottsbluff, NE",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,184950,-0.0515,-0.0755,1568,0.0374,0.0718,125,-0.0225,-0.061,3,-0.1429,-0.4,0,,-1,432.5,188.5,0.7725,367.75,5.6795,0,,,0,,,0,,,0,,-1,3,-0.1429,-0.5,0,0,-0.2,-0.2669,-0.5401,-0.1467,-0.2289,1,0
201811,38900,"Portland-Vancouver-Hillsboro, OR-WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,337500,0.0226,0.0243,1614,0.0031,-0.0271,217.3249926,0.0346,0.0716,512,-0.058,0.6203,0.2831,-0.2382,-0.2545,56,12,0.2727,10.25,0.224,138,-0.3301,-0.0676,12,0.2,1,162,-0.3077,0.8409,1,-0.6667,-0.6667,513,-0.0613,0.6082,0.002,-0.0036,-0.0075,-0.0976,0.2704,-0.0449,-0.213,0,0
